"Cocunut";"Mortgage_YN";"AGE_AT_ORIGINATION";"AGE";"YEARS_WITH_BANK";"MARTIAL_STATUS";"EDUCATION";"EMPLOYMENT";"GENDER";"CUST_INCOME";"CURRENT_ADDRESS_DATE";"CURRENT_JOB_DATE";"CURRENT_WITH_BANK_DATE";"CURRENT_BALANCE_EUR"
21394;"N";NA;36;3;"M";"HGH";"PVE";"M";172,3923077;2011-11-01;2013-08-15;2013-10-02;0
21397;"N";NA;45;3;"D";"BCR";"STE";"M";366,4052308;1972-07-22;2013-10-21;2013-10-04;0
21398;"N";NA;42;3;"M";"HGH";"PVE";"M";1504,392308;1975-05-09;1994-11-28;2013-10-04;934,5845385
21399;"N";NA;23;3;"M";"HGH";"PVE";"M";544,9084615;2013-10-01;2013-10-01;2013-09-13;76,92307692
21401;"N";NA;41;3;"M";"HGH";"PVE";"M";196,5;1976-09-28;2011-10-01;2013-10-01;23,90446154
21406;"N";NA;45;3;"M";"HGH";"PVE";"M";273,9846154;1973-01-01;1985-04-18;2013-10-03;268,2696923
21407;"N";NA;36;3;"S";"HGH";"PVE";"M";230,6538462;1981-01-20;2011-03-24;2013-10-03;157,882
21408;"N";NA;50;3;"M";"HGH";"PVE";"F";580,3538462;1985-05-01;2013-09-16;2013-10-02;377,6203846
21410;"N";NA;52;3;"M";"HGH";"PVE";"F";390,8615385;1987-08-22;2010-03-01;2013-10-02;196,8160769
21411;"N";NA;28;3;"S";"HGH";"PVE";"M";330,3143077;2007-05-01;2012-07-23;2013-10-03;333,8607692
21412;"N";NA;47;3;"M";"HGH";"PVE";"F";201,6052308;2008-01-01;2013-08-01;2013-09-25;189,8503077
21413;"N";NA;56;3;"M";"HGH";"RET";"F";253,8461538;1995-05-01;9999-10-01;2013-09-25;118,6631538
21414;"N";NA;31;3;"S";"BCR";"PVE";"M";1413,276923;2008-08-01;2014-09-15;2013-10-04;0
21416;"N";NA;28;3;"M";"HGH";"PVE";"F";163,8153846;2015-01-01;2014-02-01;2013-09-26;0,205307692
21420;"N";NA;40;3;"M";"BCR";"PVE";"F";629,3384615;2009-09-09;2010-12-15;2013-10-01;433,8135385
21423;"N";NA;42;3;"M";"HGH";"STE";"M";657,0905385;2010-01-01;1998-09-14;2013-10-09;424,3552308
21429;"N";NA;42;3;"M";"HGH";"STE";"F";219,2538462;2000-01-01;2013-09-05;2013-10-14;75,62823077
21431;"N";NA;24;3;"M";"HGH";"PVE";"M";224,5217692;2015-01-01;2013-09-02;2013-10-11;119,4880769
21433;"N";NA;40;3;"M";"HGH";"PVE";"M";439,9230769;1977-07-14;2013-09-09;2013-10-02;20,50923077
21436;"N";NA;38;3;"S";"HGH";"PVE";"F";206,4076923;1979-01-29;2013-09-15;2013-09-25;0
21439;"N";NA;59;3;"M";"BCR";"SFE";"M";190,9993077;1997-01-01;1992-09-24;2013-10-25;103,9903077
21441;"N";NA;42;8;"M";"HGH";"PVE";"F";184,4484615;2011-07-27;2011-03-10;2008-08-29;82,83861538
21442;"N";NA;64;8;"M";"HGH";"RET";"F";102,2153846;1953-01-20;9999-10-01;2008-10-23;26,96046154
21448;"N";NA;48;3;"M";"HGH";"PVE";"F";182,2615385;1969-11-07;2013-07-01;2013-10-14;177,1674615
21455;"N";NA;30;3;"M";"HGH";"PVE";"M";188,7810769;2013-01-01;2015-11-20;2013-10-15;0
21457;"N";NA;72;9;"M";"HGH";"RET";"M";201,6730769;1994-05-01;9999-10-01;2007-10-04;0
21468;"N";NA;30;3;"M";"HGH";"STE";"M";384,6153846;1987-09-02;2013-09-05;2013-10-15;278,4676923
21469;"N";NA;38;3;"S";"HGH";"STE";"M";183,8864615;9999-10-01;2015-04-20;2013-09-16;0
21475;"N";NA;68;8;"M";"HGH";"RET";"M";147,5046923;1981-05-01;9999-10-01;2008-11-05;114,6464615
21478;"N";NA;31;3;"S";"HGH";"PVE";"M";169,3692308;1986-04-08;2012-01-01;2013-10-11;40,77192308
21479;"N";NA;45;3;"M";"BCR";"PVE";"F";322,9453846;1982-09-01;2013-09-02;2013-09-14;227,8882308
21485;"N";NA;59;11;"D";"BCR";"STE";"F";598,0623846;1972-09-01;1990-03-01;2005-07-25;176,7271538
21486;"N";NA;33;3;"M";"BCR";"STE";"M";180,1307692;1984-06-12;2010-03-15;2013-09-28;2,660384615
21488;"N";NA;57;3;"M";"HGH";"STE";"F";270,9384615;1960-05-01;2012-10-23;2013-10-23;19,53146154
21489;"N";NA;69;3;"M";"BCR";"RET";"M";339,542;9999-10-01;9999-10-01;2013-10-24;0
21490;"N";NA;30;5;"M";"SEC";"PVE";"M";174,17;2006-06-09;2013-10-10;2011-08-19;74,51884615
21492;"N";NA;33;4;"S";"BCR";"PVE";"M";165,6076923;2012-06-01;2012-01-01;2013-02-19;115,2027692
21496;"N";NA;62;3;"M";"HGH";"RET";"M";175,4201538;2011-06-01;9999-10-01;2013-10-29;114,5073846
21497;"N";NA;38;9;"M";"BCR";"PVE";"F";396,0461538;2007-08-06;2012-10-02;2007-12-18;0
21499;"N";NA;52;3;"M";"HGH";"STE";"F";220,8525385;2000-05-01;2013-12-01;2013-10-03;137,3703846
21501;"N";NA;32;3;"M";"HGH";"PVE";"M";184,6153846;2013-09-01;2013-11-01;2013-10-24;168,3453846
21502;"N";NA;33;10;"S";"HGH";"STE";"M";279,9923077;1984-05-13;2010-09-22;2007-01-22;0
21503;"N";NA;39;3;"M";"HGH";"PVE";"F";221,5615385;1998-01-01;2013-06-17;2013-10-01;79,47084615
21504;"N";NA;68;3;"M";"HGH";"RET";"M";276,3212308;2010-01-01;9999-10-01;2013-10-14;236,9435385
21510;"N";NA;37;10;"M";"BCR";"PVE";"F";0;2013-09-10;2015-10-01;2006-10-18;66,65053846
21513;"N";NA;56;3;"M";"HGH";"PVE";"F";163,8153846;1990-04-01;2011-12-01;2013-10-30;204,1529231
21518;"N";NA;29;3;"S";"HGH";"PVE";"M";230,7692308;2013-01-01;2015-04-25;2013-10-28;69,90615385
21523;"N";NA;67;3;"M";"HGH";"RET";"M";203,2467692;1984-09-01;9999-10-01;2013-10-21;0
21524;"N";NA;29;4;"M";"HGH";"PVE";"F";661,5692308;1988-02-06;2014-11-06;2012-12-05;49,19376923
21527;"N";NA;55;3;"M";"HGH";"PVE";"M";210,32;2012-11-30;2013-10-28;2013-10-31;230,8950769
21534;"N";NA;59;3;"S";"BCR";"STE";"M";416,4538462;1958-09-23;1989-02-06;2013-10-24;0
21535;"N";NA;39;3;"M";"HGH";"PVE";"M";284,4102308;2012-12-04;2013-10-01;2013-10-30;76,92307692
21537;"N";NA;42;3;"M";"HGH";"PVE";"F";200,1461538;1995-10-10;2013-10-24;2013-10-29;217,1927692
21539;"N";NA;54;9;"M";"SEC";"STE";"F";307,6861538;1963-04-30;1989-06-21;2007-12-24;0
21540;"N";NA;54;5;"M";"SEC";"STE";"F";186,0402308;1986-01-01;1990-04-24;2011-08-01;70,67446154
21546;"N";NA;39;7;"S";"HGH";"PVE";"F";306,9461538;2000-01-01;2016-01-10;2010-05-31;13,36692308
21563;"N";NA;50;3;"M";"BCR";"STE";"F";528,7307692;2006-09-01;2013-10-01;2013-10-05;1,842769231
21575;"N";NA;64;3;"M";"HGH";"RET";"F";130,9298462;1964-03-15;9999-10-01;2013-10-14;60,02546154
21580;"N";NA;37;5;"M";"HGH";"STE";"F";268,019;2012-01-01;2013-12-17;2012-04-04;76,02061538
21584;"N";NA;33;3;"M";"HGH";"PVE";"F";588,0760769;2010-01-01;2014-11-15;2013-10-30;462,3196154
21585;"N";NA;65;3;"M";"HGH";"STE";"M";196,9692308;1981-08-10;1983-11-16;2013-11-05;197,5449231
21595;"N";NA;37;3;"M";"HGH";"PVE";"F";173,0769231;2010-02-12;2011-02-11;2013-08-17;74,14092308
21598;"N";NA;60;5;"W";"HGH";"RET";"F";289,9028462;9999-10-01;9999-10-01;2012-02-24;0
21600;"N";NA;69;9;"M";"HGH";"RET";"M";217,6639231;2048-03-14;9999-10-01;2008-04-21;215,3244615
21601;"N";NA;75;10;"D";"BCR";"RET";"M";603,2550769;2009-07-17;9999-10-01;2006-07-24;0
21606;"N";NA;64;3;"M";"HGH";"RET";"F";103,8261538;1995-01-01;9999-10-01;2013-10-07;61,48053846
21610;"N";NA;35;3;"M";"BCR";"PVE";"F";192,1692308;2012-06-01;2013-12-01;2013-11-08;0
21613;"N";NA;30;3;"S";"HGH";"STE";"F";550;1987-12-04;2013-10-24;2013-11-05;0
21617;"N";NA;69;11;"M";"BCR";"RET";"F";767,9307692;2006-02-01;9999-10-01;2005-09-19;0
21619;"N";NA;41;12;"D";"HGH";"PVE";"M";583,1384615;2005-05-01;2014-04-01;2004-12-12;30,99946154
21628;"N";NA;53;9;"M";"HGH";"STE";"F";183,14;1997-12-01;2010-11-03;2008-07-03;121,2986923
21629;"N";NA;61;3;"M";"BCR";"RET";"M";237,651;1980-01-01;9999-10-01;2013-11-25;185,249
21631;"N";NA;75;3;"M";"HGH";"RET";"F";142,7484615;1970-05-01;9999-10-01;2013-10-29;0
21638;"N";NA;69;3;"M";"BCR";"RET";"M";176,0471538;1990-05-01;9999-10-01;2013-11-25;181,4091538
21641;"N";NA;55;3;"M";"HGH";"STE";"F";521,9769231;2013-07-24;2013-12-11;2013-11-07;18,817
21642;"N";NA;37;7;"M";"BCR";"PVE";"M";3533,362;2009-05-01;2011-06-01;2009-09-29;1571,363231
21648;"N";NA;50;3;"M";"HGH";"STE";"F";198,4346923;1994-01-14;1996-01-01;2013-11-19;69,30892308
21649;"N";NA;37;3;"M";"HGH";"PVE";"F";192,3076923;2008-12-01;2009-08-28;2013-08-06;72,15915385
21653;"N";NA;68;3;"M";"HGH";"RET";"M";284,6467692;2012-06-04;9999-10-01;2013-11-27;1,007538462
21654;"N";NA;54;3;"M";"HGH";"STE";"M";422,1236154;2000-01-01;2003-01-28;2013-11-21;301,5804615
21655;"N";NA;64;3;"M";"HGH";"RET";"F";245,9569231;1999-03-01;9999-10-01;2013-11-05;93,75261538
21656;"N";NA;46;9;"M";"HGH";"PVE";"F";192,3076923;1993-01-01;2013-11-01;2007-08-29;0,932461538
21662;"N";NA;64;10;"M";"BCR";"RET";"M";550,5928462;1998-11-01;9999-10-01;2007-03-09;283,6949231
21664;"N";NA;30;3;"M";"PRS";"PVE";"M";211,971;2010-02-14;2011-11-08;2013-11-13;221,5862308
21666;"N";NA;41;3;"S";"HGH";"PVE";"M";230,7692308;1976-01-11;2011-09-16;2013-11-13;86,97007692
21670;"N";NA;69;3;"M";"HGH";"RET";"F";343,9859231;2001-01-01;9999-10-01;2013-11-22;0
21671;"N";NA;39;3;"M";"HGH";"PVE";"F";181,9923077;2008-03-26;2014-11-01;2013-11-29;164,5770769
21681;"N";NA;40;3;"M";"HGH";"PVE";"F";215,3846154;1996-02-12;2013-10-18;2013-11-12;173,7545385
21683;"N";NA;64;9;"M";"HGH";"RET";"F";127,9546923;2014-11-06;9999-10-01;2008-06-07;67,60423077
21684;"N";NA;45;3;"M";"HGH";"STE";"M";226,7;2005-01-01;2005-10-03;2013-11-20;183,7303846
21694;"N";NA;67;5;"M";"BCR";"RET";"M";237,0598462;1977-07-06;9999-10-01;2011-08-08;0
21702;"N";NA;29;3;"S";"BCR";"PVE";"M";192,3076923;1999-01-01;2011-08-10;2013-11-29;269,0011538
21703;"N";NA;30;3;"S";"HGH";"PVE";"M";607,6275385;1987-12-28;2013-12-05;2013-11-22;68,583
21704;"N";NA;35;8;"S";"HGH";"PVE";"M";627,4923077;2011-01-01;2014-02-10;2008-08-26;202,5266154
21714;"N";NA;32;3;"M";"BCR";"PVE";"M";246,1538462;2003-01-01;2012-12-01;2013-11-13;257,0058462
21716;"N";NA;39;3;"M";"BCR";"PVE";"F";458,7615385;2001-01-01;2004-01-01;2013-11-18;431,5943077
21718;"N";NA;51;3;"D";"HGH";"STE";"F";201,9990769;2011-04-01;2006-03-06;2013-11-07;39,97984615
21720;"N";NA;43;3;"M";"PRS";"PVE";"F";177,1623077;1995-07-15;2013-10-01;2013-11-20;0
21721;"N";NA;62;13;"M";"BCR";"RET";"F";260,0397692;1998-04-01;9999-10-01;2003-10-30;0
21722;"N";NA;32;10;"S";"MAS";"PVE";"M";800,6692308;1985-07-21;2016-01-20;2006-11-09;0
21728;"N";NA;45;10;"M";"HGH";"STE";"F";438,8978462;1980-01-01;1997-09-01;2007-02-20;0
21730;"N";NA;35;10;"S";"HGH";"PVE";"M";230,7691538;1982-12-21;2012-08-13;2006-07-13;0
21732;"N";NA;64;8;"M";"HGH";"RET";"F";166,2557692;2010-01-01;9999-10-01;2008-07-23;164,9233846
21733;"N";NA;65;3;"D";"BCR";"RET";"M";176,84;1952-12-17;9999-10-01;2013-11-13;85,71661538
21734;"N";NA;39;12;"M";"HGH";"PVE";"M";308,9590769;1978-02-25;2014-09-08;2004-08-26;1,923692308
21736;"N";NA;69;3;"S";"BCR";"RET";"F";227,8145385;1999-01-01;9999-10-01;2013-11-18;76,92307692
21738;"N";NA;36;3;"M";"HGH";"PVE";"F";173,5076923;1981-12-24;2013-06-12;2013-11-26;127,3229231
21740;"N";NA;53;3;"M";"HGH";"PVE";"F";181,3615385;1987-09-05;2010-03-01;2013-11-20;105,3414615
21742;"N";NA;33;3;"S";"HGH";"PVE";"M";184,6153846;1997-01-01;2016-03-15;2013-11-25;0
21743;"N";NA;42;3;"M";"HGH";"PVE";"F";317,5846154;1997-12-27;2007-06-01;2013-11-28;405,7031538
21748;"N";NA;28;3;"M";"HGH";"PVE";"M";197,7230769;2000-05-01;2014-02-04;2013-10-18;175,1998462
21753;"N";NA;42;3;"M";"HGH";"PVE";"F";247,4816923;1998-10-24;2014-07-01;2013-11-22;189,7311538
21755;"N";NA;27;3;"S";"HGH";"PVE";"M";257,9230769;1990-08-02;2013-10-15;2013-11-07;73,07546154
21756;"N";NA;54;11;"M";"BCR";"STE";"M";351,4704615;1993-08-20;2006-07-23;2005-11-28;121,8453846
21757;"N";NA;45;3;"M";"BCR";"STE";"F";434,9717692;2006-10-01;2013-11-19;2013-12-02;126,8422308
21760;"N";NA;44;6;"M";"PRS";"STE";"M";389,6615385;2001-01-01;2012-05-01;2010-09-01;209,4449231
21761;"N";NA;68;9;"W";"HGH";"RET";"M";266,3461538;2013-12-11;9999-10-01;2008-06-02;76,66084615
21765;"N";NA;33;6;"S";"HGH";"STE";"M";350,8384615;1984-08-09;2002-02-02;2010-07-23;0
21770;"N";NA;34;11;"M";"HGH";"PVE";"M";407,3;2014-10-01;2015-10-01;2006-01-31;335,8273077
21771;"N";NA;36;9;"M";"BCR";"STE";"M";366,7788462;1981-08-09;2012-11-22;2007-09-18;0
21772;"N";NA;39;3;"S";"HGH";"STE";"F";338,6538462;1990-01-01;2013-12-03;2013-12-06;62,86684615
21774;"N";NA;60;13;"M";"PRS";"PVE";"M";723,9621538;2000-02-01;1978-08-18;2004-01-05;0
21778;"N";NA;23;3;"S";"HGH";"PVE";"M";197,2461538;1994-12-20;2015-09-29;2013-12-05;0
21785;"N";NA;36;3;"M";"HGH";"PVE";"F";230,7692308;2011-07-08;2013-03-01;2013-10-28;195,3522308
21786;"N";NA;65;3;"M";"BCR";"RET";"M";231,8539231;1980-11-01;9999-10-01;2013-11-19;96,51653846
21787;"N";NA;47;4;"S";"HGH";"PVE";"M";191,7538462;1970-12-26;2006-07-01;2013-04-25;0
21790;"N";NA;60;11;"W";"HGH";"RET";"F";190,1726154;2000-05-10;9999-10-01;2005-09-16;0
21792;"N";NA;43;11;"M";"PRS";"PVE";"M";211,3153846;1974-08-07;2010-05-01;2005-12-30;48,57284615
21795;"N";NA;50;4;"M";"HGH";"PVE";"M";179,1307692;1967-05-05;2007-06-16;2012-08-17;179,6289231
21801;"N";NA;50;3;"M";"HGH";"STE";"F";210;1987-05-01;2006-01-26;2013-11-25;1,319538462
21802;"N";NA;42;11;"M";"HGH";"PVE";"F";403,7538462;2009-01-01;2011-03-14;2005-08-24;0
21809;"N";NA;56;11;"M";"BCR";"SFE";"F";360,4771538;2007-01-01;2003-10-01;2006-05-03;0
21810;"N";NA;43;12;"D";"HGH";"PVE";"M";196,7;1978-05-05;2012-03-19;2005-04-26;46,459
21814;"N";NA;32;3;"M";"HGH";"PVE";"F";236,0923077;2001-01-01;2013-07-23;2013-12-02;78,70946154
21817;"N";NA;39;3;"M";"HGH";"STE";"F";166,6396154;1995-12-09;2015-01-20;2013-12-10;47,71069231
21823;"N";NA;43;3;"M";"HGH";"PVE";"M";206,6538462;2014-10-14;2015-10-06;2013-12-03;0
21830;"N";NA;55;9;"M";"HGH";"PVE";"M";406,1538462;2000-06-01;1983-03-02;2008-03-19;0
21839;"N";NA;49;4;"M";"HGH";"STE";"F";424,6153846;2010-07-01;1987-02-04;2012-07-19;169,0495385
21842;"N";NA;46;8;"M";"BCR";"OTH";"F";0;2000-05-01;2010-01-05;2008-10-13;224,1101538
21846;"N";NA;64;15;"M";"HGH";"RET";"F";173,1212308;2000-01-01;9999-10-01;2002-07-06;76,59976923
21849;"N";NA;46;11;"M";"BCR";"STE";"F";536,9769231;1971-09-18;2003-01-23;2006-01-24;0
21855;"N";NA;72;3;"M";"HGH";"RET";"M";263,3613846;2005-09-06;9999-10-01;2013-11-20;77,37946154
21857;"N";NA;39;7;"S";"MAS";"STE";"M";428,9178462;1978-05-30;2010-11-23;2009-08-24;372,741
21859;"N";NA;37;4;"M";"HGH";"PVE";"F";184,6153846;2005-06-01;2002-05-22;2013-03-25;78,79584615
21860;"N";NA;53;3;"M";"HGH";"STE";"M";230,7692308;1985-06-01;2007-01-01;2013-12-07;76,92323077
21861;"N";NA;25;3;"S";"HGH";"PVE";"F";275,4230769;1992-05-30;2015-08-01;2013-12-05;270,1168462
21864;"N";NA;31;3;"M";"BCR";"PVE";"M";284,6153846;1986-01-04;2010-03-01;2013-08-07;89,67784615
21865;"N";NA;50;10;"M";"MAS";"STE";"F";328,2535385;1991-09-15;2013-03-01;2007-06-07;1,352076923
21866;"N";NA;49;12;"M";"BCR";"STE";"F";454,6615385;2000-07-15;1995-10-01;2005-07-04;0
21871;"N";NA;65;7;"M";"HGH";"RET";"F";145,6873077;2003-08-13;9999-10-01;2009-07-25;36,92092308
21875;"N";NA;56;9;"M";"HGH";"STE";"F";358,2615385;1994-01-01;2013-10-01;2008-05-03;336,7876923
21881;"N";NA;59;9;"M";"BCR";"RET";"F";362,0430769;1999-01-08;9999-10-01;2008-05-14;48,11684615
21883;"N";NA;49;12;"M";"HGH";"STE";"M";469,8623077;1972-05-13;1989-12-29;2005-06-21;373,1568462
21887;"N";NA;40;9;"M";"HGH";"PVE";"F";267,5538462;1988-01-01;2011-05-10;2007-10-26;2,075923077
21888;"N";NA;32;3;"S";"HGH";"PVE";"M";224,0769231;1985-12-31;2013-11-01;2013-12-03;233,6976923
21892;"N";NA;36;3;"M";"HGH";"PVE";"F";163,8153846;2005-01-01;2016-04-01;2013-12-16;0
21898;"N";NA;49;10;"M";"HGH";"SFE";"F";178,8643846;2001-11-01;1995-03-01;2007-05-10;177,0678462
21901;"N";NA;55;9;"D";"BCR";"STE";"M";359,424;1994-01-01;2000-09-06;2007-11-19;0
21904;"N";NA;60;10;"M";"BCR";"RET";"F";73,08769231;1957-07-16;9999-10-01;2006-07-13;29,30007692
21919;"N";NA;26;3;"S";"HGH";"PVE";"M";218,4127692;2000-01-01;2016-06-24;2013-12-17;221,7431538
21921;"N";NA;34;6;"M";"HGH";"PVE";"M";398,2117692;2014-06-01;2011-05-19;2011-04-26;392,7326154
21923;"N";NA;55;3;"M";"HGH";"STE";"F";174,9692308;1990-01-15;2009-03-01;2013-12-10;0
21931;"N";NA;52;9;"M";"HGH";"PVE";"F";176,7169231;1993-06-01;2009-06-30;2008-05-17;91,02123077
21933;"N";NA;46;3;"M";"HGH";"PVE";"M";210,0102308;2003-10-15;2000-03-21;2013-12-09;58,43676923
21941;"N";NA;50;3;"M";"BCR";"STE";"M";340,4;1974-08-01;2013-10-02;2013-12-25;30,234
21942;"N";NA;46;6;"M";"HGH";"SFE";"M";134,6153846;1971-08-10;2006-08-21;2010-09-23;52,43507692
21952;"N";NA;38;9;"M";"HGH";"STE";"M";409,6433846;2012-06-01;1998-07-25;2008-05-19;0
21954;"N";NA;58;11;"D";"HGH";"RET";"F";203,8636923;1998-09-01;9999-10-01;2005-12-20;237,281
21960;"N";NA;32;10;"S";"BCR";"PVE";"F";307,6923077;2013-01-01;2013-06-01;2007-04-24;37,29284615
21962;"N";NA;58;13;"M";"BCR";"SFE";"M";180,3807692;2013-08-01;2013-12-16;2003-07-07;264,4106923
21963;"N";NA;56;10;"M";"HGH";"STE";"M";361,6805385;1961-11-29;1985-03-04;2006-07-28;371,057
21972;"N";NA;46;8;"M";"BCR";"STE";"F";428,787;2010-01-01;2013-06-01;2008-12-31;52,13138462
21973;"N";NA;53;4;"D";"BCR";"STE";"F";337,6076923;2013-10-01;2013-09-01;2013-03-19;110,6535385
21974;"N";NA;48;3;"M";"HGH";"PVE";"F";196,0538462;1994-01-01;2003-07-01;2013-12-19;77,42592308
21977;"N";NA;42;11;"M";"HGH";"STE";"M";407,6153846;1998-01-13;1998-12-24;2005-07-26;254,1665385
21978;"N";NA;32;7;"M";"HGH";"PVE";"F";231,3565385;2010-01-01;2015-09-01;2009-07-28;308,7019231
21980;"N";NA;26;3;"S";"HGH";"PVE";"M";176,9230769;1991-04-29;2013-06-01;2013-12-16;45,36092308
22002;"N";NA;23;3;"S";"HGH";"PVE";"F";423,6449231;1994-03-05;2014-08-19;2013-12-18;28,37315385
22008;"N";NA;40;10;"M";"BCR";"STE";"F";343,6141538;2000-11-11;2004-09-01;2006-08-19;193,3716154
22015;"N";NA;45;12;"M";"BCR";"STE";"F";194,6570769;2001-03-01;2009-11-02;2004-07-09;0
22017;"N";NA;67;10;"M";"HGH";"RET";"M";195,3320769;2008-01-01;9999-10-01;2006-10-10;193,7230769
22020;"N";NA;39;4;"S";"HGH";"STE";"M";406,4307692;2010-02-01;2000-10-19;2013-03-18;275,97
22021;"N";NA;64;6;"M";"HGH";"RET";"F";146,9953846;1970-01-01;9999-10-01;2010-11-22;0
22026;"N";NA;33;3;"S";"BCR";"PVE";"M";185,8833846;1991-03-01;2011-06-08;2013-12-02;192,1405385
22027;"N";NA;69;12;"M";"BCR";"RET";"F";247,5054615;1976-01-01;9999-10-01;2005-03-24;0
22028;"N";NA;46;12;"M";"BCR";"PVE";"M";444,4833077;2010-01-01;1997-02-17;2004-12-06;207,4736923
22030;"N";NA;69;8;"M";"HGH";"RET";"M";253,1294615;1985-04-01;9999-10-01;2008-09-10;260,2223846
22044;"N";NA;55;11;"M";"HGH";"STE";"F";476,8692308;1995-01-01;1989-05-09;2006-03-22;194,847
22053;"N";NA;31;3;"M";"BCR";"STE";"F";481,1692308;2015-01-01;2013-12-06;2013-12-11;1,132307692
22055;"N";NA;66;7;"M";"HGH";"RET";"M";165,0215385;1983-01-01;9999-10-01;2009-07-15;78,64038462
22058;"N";NA;46;9;"M";"BCR";"PVE";"M";460,8615385;2002-01-28;1995-05-01;2008-02-01;0
22060;"N";NA;46;3;"M";"HGH";"PVE";"M";189,2923077;1971-04-04;2005-07-01;2013-12-16;127,5707692
22062;"N";NA;63;11;"M";"BCR";"STE";"M";416,2538462;2002-10-31;2007-03-26;2005-09-12;134,2278462
22064;"N";NA;69;3;"M";"PRS";"RET";"F";184,9430769;1970-01-01;9999-10-01;2013-12-06;72,80353846
22065;"N";NA;53;4;"M";"HGH";"PVE";"F";192,3076923;2003-09-18;2015-07-01;2012-09-11;4,266307692
22066;"N";NA;45;9;"M";"HGH";"PVE";"F";335,1230769;2014-01-01;2007-04-01;2008-04-01;0
22069;"N";NA;62;3;"M";"HGH";"STE";"M";227,4769231;1985-01-01;2013-12-06;2013-12-17;0
22071;"N";NA;30;5;"M";"BCR";"PVE";"F";346,1538462;2013-05-04;2015-11-15;2012-03-16;0
22079;"N";NA;61;9;"M";"HGH";"PVE";"M";436,6;1976-05-01;1975-10-15;2008-02-18;229,0017692
22081;"N";NA;42;3;"M";"BCR";"STE";"F";318,8470769;1999-06-01;1999-09-01;2013-12-27;0
22087;"N";NA;48;4;"M";"HGH";"PVE";"F";266,9230769;1969-11-07;2010-01-01;2013-03-15;0
22089;"N";NA;36;10;"S";"HGH";"PVE";"M";384,6153846;2011-01-01;2013-06-03;2006-08-01;35,38846154
22094;"N";NA;48;3;"M";"HGH";"STE";"M";437,9111538;1969-02-05;1989-03-23;2013-12-18;194,7080769
22095;"N";NA;69;5;"M";"HGH";"RET";"M";122,25;2010-07-22;9999-10-01;2012-04-12;0
22097;"N";NA;60;8;"M";"HGH";"RET";"F";137,8333846;2000-05-01;9999-10-01;2008-10-28;0
22106;"N";NA;30;3;"S";"BCR";"PVE";"M";173,1461538;1987-06-01;2009-06-26;2013-12-05;63,62692308
22108;"N";NA;48;6;"M";"HGH";"STE";"F";166,4307692;2006-01-01;2013-03-08;2011-03-30;55,43992308
22109;"N";NA;49;4;"M";"BCR";"PVE";"M";282,0461538;2006-05-01;2003-12-17;2012-07-05;170,9347692
22117;"N";NA;66;10;"M";"BCR";"RET";"F";319,5461538;1992-03-01;9999-10-01;2007-04-25;0
22127;"N";NA;44;9;"M";"HGH";"PVE";"M";219,2792308;1973-07-15;2007-10-01;2007-11-08;0
22128;"N";NA;31;3;"M";"BCR";"STE";"F";590,2582308;2015-01-01;2015-08-01;2013-12-09;25,526
22129;"N";NA;44;4;"M";"HGH";"STE";"F";162,1095385;1997-01-01;2009-09-01;2013-01-09;124,6056154
22136;"N";NA;55;10;"D";"BCR";"PVE";"F";203,7998462;1983-09-23;2005-10-21;2007-04-16;34,10215385
22137;"N";NA;68;6;"M";"HGH";"RET";"M";242,9381538;1969-01-01;9999-10-01;2011-06-03;15,48523077
22140;"N";NA;34;3;"D";"HGH";"PVE";"F";219,3820769;2011-06-06;2011-07-21;2013-12-13;218,7723077
22144;"N";NA;63;9;"M";"HGH";"RET";"F";201,7801538;1979-01-01;9999-10-01;2008-05-23;93,01884615
22147;"N";NA;62;11;"D";"BCR";"OTH";"F";363,0691538;1967-01-01;9999-10-01;2005-11-15;67,23061538
22149;"N";NA;36;7;"M";"BCR";"STE";"F";0;1981-04-09;2003-10-01;2009-09-04;0
22151;"N";NA;49;12;"M";"BCR";"STE";"F";804,5923077;2005-04-05;2012-11-16;2005-01-26;5,572846154
22167;"N";NA;68;11;"M";"BCR";"RET";"M";515,3846154;2013-01-01;9999-10-01;2005-12-13;0
22168;"N";NA;69;5;"M";"HGH";"RET";"M";136,9907692;2004-11-16;9999-10-01;2011-10-18;0
22170;"N";NA;40;4;"D";"HGH";"PVE";"F";175,9923077;2006-08-23;2015-09-15;2013-01-16;155,6415385
22171;"N";NA;38;3;"M";"BCR";"PVE";"M";184,7788462;1987-08-10;2011-02-21;2013-12-26;0,800615385
22175;"N";NA;46;3;"M";"HGH";"PVE";"F";186,8756923;2000-03-01;2001-06-15;2013-09-26;79,92546154
22179;"N";NA;54;4;"M";"BCR";"STE";"F";473,2343846;1998-09-01;1986-09-01;2012-10-15;0
22180;"N";NA;36;3;"M";"BCR";"STE";"F";0;2009-09-01;2007-11-30;2013-12-03;0
22182;"N";NA;53;3;"M";"HGH";"PVE";"M";523,0709231;1971-01-25;2014-07-14;2013-11-12;345,5836923
22186;"N";NA;54;9;"W";"BCR";"STE";"F";206,794;2004-09-01;9999-10-01;2007-10-31;72,37561538
22187;"N";NA;56;9;"M";"BCR";"STE";"F";326,034;1996-05-15;2006-09-01;2008-05-20;179,2912308
22195;"N";NA;47;3;"M";"HGH";"PVE";"M";274,9307692;1970-12-06;2015-12-01;2013-12-25;282,0734615
