AGE;YEARS_WITH_BANK;MARITAL_STATUS;EDUCATION;EMPLOYMENT;GENDER;INCOME;ADDRESS_DATE;JOB_DATE;WITH_BANK_DATE;BALANCE
64;4;M;HGH;RET;M;154.09;1993-04-01;;2012-08-27;304.65
29;3;M;HGH;PVE;F;172.31;2014-05-01;2011-12-15;2013-12-09;2307.69
40;13;S;BCR;PVE;F;541.93;1977-10-17;2006-08-01;2003-09-18;807.69
29;2;S;HGH;PVE;M;230.77;2001-01-01;2015-12-10;2015-04-27;3525.12
35;7;M;HGH;STE;M;470.72;2006-03-14;2005-04-25;2010-07-01;3316.58
56;14;M;HGH;PVE;M;1168.7;2007-01-10;1981-10-26;2003-06-06;3910.88
41;3;M;HGH;PVE;F;260.12;1976-03-15;2014-08-12;2013-07-09;990.12
33;10;M;HGH;PVE;F;314.32;2011-06-01;2008-01-01;2007-04-24;443.51
41;2;M;HGH;PVE;F;257.18;2000-01-01;2015-07-01;2015-05-26;4742.31
34;3;S;HGH;STE;M;285.47;2011-09-01;2013-12-01;2013-12-24;2288.7
57;0;W;HGH;RET;M;380.15;1960-07-20;;2016-09-28;2307.69
46;3;M;HGH;PVE;F;265.16;1989-06-10;2010-05-05;2013-10-03;1130.18
71;5;M;HGH;RET;F;176.42;1948-01-01;;2012-02-21;1478.16
51;4;M;HGH;PVE;M;311.61;1966-03-22;2003-07-01;2012-07-10;8171.98
33;3;M;HGH;PVE;F;218.08;1989-05-01;2010-11-01;2013-07-27;790.38
55;12;M;BCR;SFE;F;307.69;1972-07-20;1996-06-17;2005-04-07;7629.0
64;3;S;BCR;RET;F;465.6;1979-01-01;;2014-01-03;4201.39
61;11;W;HGH;RET;F;250.72;2007-01-01;;2005-07-14;5371.45
36;10;M;HGH;STE;M;500.51;1985-01-01;2005-06-01;2007-03-22;3270.46
52;4;M;HGH;PVE;M;180.77;2005-01-01;2003-08-01;2013-01-15;2268.49
32;10;M;BCR;PVE;M;2589.94;2012-06-01;2005-09-01;2006-10-19;10680.6
59;11;M;BCR;PVE;F;1043.98;2000-01-01;1983-05-12;2005-10-15;1173.53
25;2;S;BCR;PVE;M;308.86;1992-09-13;2015-02-09;2015-02-02;948.46
68;4;W;BCR;RET;F;297.85;1980-01-01;;2012-11-20;761.63
66;13;D;BCR;RET;M;247.48;1962-02-23;;2003-10-16;304.65
41;10;M;HGH;STE;F;275.54;1990-01-01;1999-12-13;2006-12-26;6480.64
56;9;S;HGH;PVE;F;310.25;1999-01-16;2009-04-06;2008-05-19;5650.88
30;2;S;BCR;PVE;F;176.15;2012-04-01;2014-10-02;2014-11-03;2260.87
30;4;S;BCR;STE;M;653.41;2015-08-01;2016-06-17;2013-01-16;1722.31
49;12;M;BCR;STE;F;454.66;2000-07-15;1995-10-01;2005-07-04;9149.02
24;3;S;HGH;STE;M;370.68;1998-11-24;2013-09-11;2013-09-12;2338.53
43;10;M;HGH;PVE;F;246.15;2008-09-01;;2006-12-30;386.51
24;2;M;SEC;PVE;F;179.06;2014-03-01;2016-02-09;2014-07-22;5258.53
24;0;S;HGH;PVE;M;296.38;2014-12-31;2014-02-01;2016-09-16;7692.31
37;0;S;BCR;PVE;M;228.21;2015-02-24;2016-03-01;2016-09-26;2268.49
56;0;M;HGH;RET;M;381.93;1963-01-01;;2016-10-07;2307.69
55;9;M;SEC;PVE;F;217.78;2008-01-01;;2008-04-08;1650.2
47;2;W;HGH;RET;F;437.08;1970-09-19;;2014-08-18;4615.38
61;11;M;HGH;STE;M;257.85;2000-05-01;1978-03-01;2005-12-02;2307.69
55;12;M;HGH;PVE;M;283.12;1986-05-01;2015-09-01;2004-11-04;4615.38
57;4;M;HGH;STE;F;342.34;1960-01-26;1985-05-05;2012-08-13;671.55
37;9;M;HGH;STE;M;581.49;2009-05-01;2006-05-15;2008-05-09;3076.92
61;6;M;BCR;PVE;F;246.06;2008-01-01;2002-04-19;2010-11-24;3969.07
68;5;M;HGH;RET;M;337.08;1983-01-01;;2012-03-13;5366.71
47;2;M;HGH;STE;M;274.95;1970-11-03;1990-01-29;2014-12-30;4292.43
57;2;M;HGH;PVE;F;212.77;2010-01-01;2014-02-28;2014-11-05;2307.69
53;11;M;HGH;STE;F;299.16;1983-09-01;1988-09-23;2005-07-25;2307.69
40;12;S;HGH;PVE;M;517.67;2006-03-08;2000-07-01;2005-02-21;2475.3
44;10;M;HGH;PVE;F;276.9;2000-06-01;2014-05-06;2006-08-30;2493.55
48;0;M;HGH;SFE;F;170.91;1989-06-24;;2016-09-14;2307.69
59;11;M;HGH;RET;F;212.36;1986-06-20;;2005-08-08;3106.21
36;10;S;BCR;STE;F;487.69;2013-01-01;2013-12-16;2006-08-22;4615.38
61;7;M;HGH;PVE;M;369.23;1956-09-05;;2009-09-25;2307.69
61;2;W;HGH;STE;F;262.6;1994-01-01;;2014-11-25;480.98
33;2;M;BCR;PVE;M;184.62;1995-08-01;2013-02-01;2014-10-30;2307.69
48;3;M;HGH;PVE;M;281.66;2008-01-01;2008-04-21;2013-09-17;6134.95
42;3;M;BCR;STE;F;354.97;2000-06-01;2002-11-01;2013-07-24;2892.19
57;12;M;HGH;RET;F;148.35;2008-02-10;;2005-06-13;3414.46
65;11;D;HGH;RET;F;387.16;2005-01-01;;2005-07-12;1975.96
38;4;M;BCR;PVE;F;411.28;2001-10-07;2015-09-27;2012-11-20;1597.57
42;8;M;BCR;PVE;F;397.84;2010-08-01;2008-09-22;2008-09-22;2307.69
23;0;M;BCR;PVE;F;253.85;1994-01-14;2014-02-01;2016-10-08;357.82
57;0;M;HGH;RET;M;337.68;1989-08-09;;2016-10-06;7692.31
42;12;D;BCR;PVE;F;647.9;2000-02-01;2007-12-04;2004-09-15;7692.31
46;12;M;HGH;PVE;M;391.25;1971-12-31;2006-01-01;2005-04-06;3951.92
59;0;M;HGH;PVE;M;419.17;1958-09-21;1978-05-25;2016-10-06;2307.69
33;1;M;BCR;PVE;F;384.62;2015-02-01;2014-04-01;2016-01-14;4615.38
69;11;M;HGH;RET;F;268.15;1978-05-01;;2006-06-28;3161.54
35;12;S;BCR;TEA;F;1033.44;1982-02-28;2014-03-10;2005-05-14;12269.91
57;9;M;HGH;SFE;M;307.48;1992-05-01;2002-01-01;2007-12-10;952.01
61;1;M;BCR;PVE;M;292.31;1980-06-01;1999-06-01;2015-09-29;184.54
61;11;M;BCR;STE;F;374.16;1989-01-01;1982-08-20;2005-07-11;2307.69
58;13;M;BCR;STE;F;277.67;1995-08-01;1989-01-31;2003-09-18;2307.69
43;1;M;HGH;PVE;F;287.89;1990-03-01;2013-11-26;2016-02-08;0.0
63;10;W;HGH;RET;F;211.08;2010-01-01;;2007-02-19;5311.38
25;1;S;HGH;PVE;M;178.88;1992-08-03;2013-02-18;2016-07-01;1533.35
62;1;M;HGH;STE;M;239.21;1955-09-28;1980-02-01;2016-03-24;2149.28
42;11;M;HGH;PVE;F;184.71;2006-01-01;2006-09-14;2006-04-19;2307.69
35;3;S;BCR;STE;M;410.85;1982-11-05;2006-06-01;2014-01-29;316.84
34;9;M;HGH;STE;M;253.27;1985-10-27;2010-11-01;2008-05-19;790.38
48;9;M;HGH;STE;M;396.31;2000-10-20;2015-12-04;2007-09-24;4615.38
38;1;S;HGH;PVE;M;474.61;2011-01-01;2014-05-01;2015-07-13;3846.15
56;5;M;HGH;PVE;M;312.27;2008-06-20;1983-12-01;2011-10-19;2307.69
55;5;W;HGH;RET;F;137.41;1999-01-01;;2012-05-08;1119.04
37;3;M;MAS;PVE;F;1238.72;2013-08-08;2010-07-01;2013-07-24;2307.69
53;8;M;HGH;PVE;F;273.08;1994-12-03;2001-09-01;2009-04-29;846.15
40;4;M;BCR;PVE;M;384.62;2002-06-01;2007-02-15;2013-06-26;269.31
64;11;M;BCR;RET;F;218.72;1979-09-23;;2005-11-25;987.98
69;12;M;BCR;RET;M;289.32;1969-10-01;;2004-08-24;553.27
71;11;M;HGH;RET;M;287.55;1960-04-06;;2005-12-26;1185.58
24;1;S;HGH;PVE;M;546.79;2014-03-14;2016-03-01;2016-03-15;4615.38
65;10;M;HGH;RET;M;231.35;1952-03-30;;2006-07-21;5366.71
39;12;M;BCR;PVE;M;440.67;1978-10-04;2003-07-01;2005-05-10;2307.69
73;2;D;HGH;RET;F;1098.24;2012-01-01;;2015-04-20;3951.92
45;10;M;BCR;PVE;F;433.39;1999-09-25;2002-06-01;2006-07-13;7537.23
33;8;M;HGH;SFE;F;250.51;2014-05-01;2009-05-04;2009-04-27;4609.54
52;12;M;BCR;STE;F;368.19;2005-06-01;2000-01-11;2005-07-04;6560.19
59;11;M;HGH;RET;F;207.34;2012-03-20;;2005-07-22;3638.01
65;0;W;HGH;RET;M;216.81;1990-05-01;;2016-10-06;959.18
31;1;S;HGH;PVE;F;232.19;1986-05-22;2005-09-15;2015-07-16;565.16
48;13;M;BCR;PVE;F;279.49;1996-01-01;2013-06-20;2004-01-29;4298.55
31;4;S;HGH;STE;F;515.29;1995-01-01;2015-02-02;2012-07-30;2307.69
42;3;M;HGH;PVE;F;220.06;1975-06-19;2012-10-05;2013-11-07;521.06
35;4;M;BCR;PVE;F;231.36;1982-06-05;2012-12-01;2012-12-24;2945.34
50;11;M;HGH;PVE;M;275.38;1967-10-04;1998-11-01;2005-08-10;2307.69
37;9;M;HGH;PVE;F;184.62;2007-01-27;1999-06-01;2008-04-10;2266.48
42;6;M;HGH;PVE;F;160.3;1993-05-16;2010-11-01;2010-11-25;971.16
24;5;S;HGH;TEA;M;280.09;1993-11-18;2015-05-15;2011-12-22;2307.69
58;10;M;HGH;RET;M;287.39;1989-11-28;;2006-09-06;795.31
52;3;M;HGH;STE;F;291.55;2013-01-01;1999-11-04;2013-11-28;6792.27
22;2;S;HGH;PVE;F;192.31;2005-01-01;2015-05-01;2015-05-18;1219.79
46;14;M;HGH;PVE;M;293.58;1971-11-10;2016-02-01;2003-05-19;4630.14
34;11;M;HGH;STE;F;349.53;2005-01-01;2003-10-01;2006-03-23;2307.69
