AGE;YEARS_WITH_BANK;INCOME;BALANCE;ADDRESS_MISSING;YEARS_WITH_ADDRESS;JOB_MISSING;YEARS_WITH_JOB;MARITAL_STATUS_MISSING;MARITAL_STATUS_D;MARITAL_STATUS_M;MARITAL_STATUS_S;MARITAL_STATUS_W;EDUCATION_BCR;EDUCATION_HGH;EDUCATION_MAS;EDUCATION_OTH;EDUCATION_PHD;EDUCATION_PRI;EDUCATION_PRS;EDUCATION_SEC;EMPLOYMENT_OTH;EMPLOYMENT_PVE;EMPLOYMENT_RET;EMPLOYMENT_SFE;EMPLOYMENT_STE;EMPLOYMENT_TEA;GENDER_F;GENDER_M
0.43243243243243246;1.3862943611198906;6.04992211667955;4.969813299576001;0.0;3.4965075614664802;0.0;2.5649493574615367;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.6891891891891891;2.3978952727983707;4.953076800234967;7.736176083599651;0.0;2.0794415416798357;1.0;2.4849066497880004;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.4864864864864865;2.0794415416798357;5.792769676196082;7.727310415629928;0.0;3.6109179126442243;0.0;2.197224577336219;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
0.6216216216216216;2.4849066497880004;6.606406913366536;8.42023725810222;0.0;2.3025850929940455;0.0;2.5649493574615367;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
0.527027027027027;2.3978952727983707;6.184004550624014;8.03200932315787;0.0;3.2188758248682006;0.0;1.6094379124341003;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.8648648648648649;2.3025850929940455;5.618660221239366;5.041940143924668;0.0;3.5553480614894135;0.0;3.2188758248682006;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.8648648648648649;2.197224577336219;5.474914235205125;7.7444355430869605;0.0;3.6888794541139363;1.0;2.4849066497880004;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
1.0;2.4849066497880004;5.40285754582196;6.6737782569615325;0.0;3.0910424533583156;1.0;2.4849066497880004;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.35135135135135137;1.6094379124341003;5.520059936946618;8.437366127156656;0.0;2.197224577336219;0.0;1.791759469228055;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.5675675675675675;2.6390573296152584;5.434071287525656;8.480803028473298;0.0;3.7612001156935624;0.0;1.791759469228055;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
