MORTGAGE;MORTGAGE_TAKING_AGE;AGE;YEARS_WITH_BANK;MARITAL_STATUS;EDUCATION;EMPLOYMENT;GENDER;INCOME;ADDRESS_DATE;JOB_DATE;WITH_BANK_DATE;BALANCE
Y;34;36;11;S;HGH;PVE;F;276.49;1981-03-09;2006-10-01;2006-02-24;22617.89
Y;29;31;2;M;BCR;PVE;F;441.09;2001-01-01;2012-04-01;2014-11-20;36518.25
Y;37;39;9;S;BCR;PVE;M;699.46;1986-09-10;2011-11-14;2008-05-19;21501.55
Y;35;37;2;M;BCR;STE;M;336.81;2011-07-02;2013-08-01;2015-03-11;31122.12
Y;46;47;11;M;BCR;PVE;M;1179.48;2015-06-01;2010-01-01;2005-07-13;36277.13
Y;39;41;15;M;BCR;PVE;F;1174.46;2007-01-01;2002-03-18;2002-03-22;84832.16
Y;33;35;2;M;HGH;PVE;F;363.84;2014-06-01;2011-05-01;2015-03-16;24108.04
Y;35;37;12;M;BCR;STE;F;946.82;2009-01-01;2005-06-01;2005-06-07;24186.31
Y;33;35;8;M;HGH;PVE;F;463.17;2006-10-01;2011-01-01;2008-09-01;20793.12
Y;31;33;9;S;BCR;PVE;F;6293.23;1992-09-01;2010-08-01;2007-08-15;88270.54
Y;46;48;15;M;BCR;STE;M;1437.55;2004-09-11;2004-11-10;2001-12-26;69276.39
Y;39;41;9;M;BCR;PVE;M;916.29;2016-06-28;2013-02-01;2007-07-30;22648.0
Y;46;48;11;M;BCR;PVE;F;651.49;1996-09-14;2006-03-20;2006-03-22;36292.95
Y;57;59;11;M;HGH;PVE;M;346.15;1988-04-22;1989-08-11;2005-07-06;2454.94
Y;56;58;11;M;HGH;PVE;F;323.72;2005-01-12;2001-11-01;2006-05-24;1857.56
Y;40;43;12;S;MAS;OTH;M;709.44;;;2005-02-04;11586.57
Y;35;37;5;S;BCR;PVE;F;1199.51;2011-01-01;2013-04-22;2012-03-21;31443.91
Y;56;59;13;M;BCR;STE;M;784.82;1991-06-01;2005-12-12;2003-07-21;6844.35
Y;42;44;12;M;BCR;PVE;M;1531.32;2008-01-01;2004-08-23;2004-10-21;0.0
Y;59;61;10;S;HGH;SFE;M;256.41;1998-08-03;2000-04-03;2006-11-15;13720.09
Y;45;47;13;S;BCR;PVE;M;1869.34;2000-09-01;2003-10-01;2003-10-03;26562.85
Y;36;38;12;M;BCR;STE;M;313.08;2000-07-21;1999-01-01;2005-03-07;2459.24
Y;36;38;11;S;BCR;PVE;M;1816.17;2015-03-01;2007-05-15;2006-01-28;7212.15
Y;37;39;13;S;HGH;PVE;M;333.21;2006-09-01;2001-06-01;2003-12-11;3494.0
Y;40;42;14;M;MAS;PVE;M;5561.22;2010-06-01;2014-12-01;2003-02-08;24945.43
Y;60;62;15;S;MAS;STE;F;430.63;1999-06-14;1986-12-02;2001-12-17;21350.95
Y;41;43;2;M;HGH;STE;F;277.15;2016-01-01;2011-02-14;2014-11-13;19313.64
Y;45;47;12;M;HGH;STE;M;556.7;2012-05-01;1989-06-01;2004-08-20;21176.47
Y;40;42;4;S;BCR;STE;M;787.33;1994-11-01;2013-04-15;2013-05-28;27681.93
Y;39;41;10;M;BCR;STE;F;291.44;2003-12-15;1998-09-01;2006-08-31;7354.89
Y;50;52;13;M;BCR;STE;F;281.02;1985-08-26;2001-10-02;2004-01-16;8076.47
Y;34;36;13;S;HGH;PVE;M;563.17;1981-12-05;2007-05-01;2004-06-01;64683.09
Y;45;47;10;M;BCR;STE;F;392.88;2006-12-08;2001-01-27;2006-07-10;0.0
Y;27;29;2;S;HGH;STE;M;675.54;1998-10-01;2010-10-25;2015-05-25;9199.85
Y;57;59;12;M;BCR;RET;F;636.68;2003-10-18;;2004-12-27;15152.57
Y;46;48;12;M;HGH;PVE;M;973.85;1981-11-29;2005-01-01;2005-01-24;61233.71
Y;42;44;2;S;BCR;STE;F;353.51;2014-10-01;2010-09-01;2015-06-10;16354.26
Y;39;41;12;M;BCR;PVE;M;1429.31;2011-08-01;;2005-03-10;23233.16
Y;42;44;12;S;MAS;STE;F;396.45;2015-06-01;2002-01-15;2004-10-29;28728.48
Y;41;43;11;M;HGH;PVE;M;615.38;1974-10-26;2004-02-01;2006-02-07;35309.63
Y;44;46;5;M;HGH;PVE;M;313.81;1971-08-09;2001-11-10;2011-09-02;24287.12
Y;33;34;11;M;HGH;PVE;M;384.62;2010-05-01;2014-12-20;2006-06-23;35982.09
Y;34;36;11;S;BCR;PVE;F;1179.06;2008-12-01;2005-09-12;2005-09-21;40861.81
Y;41;43;12;M;BCR;PVE;F;1734.16;2005-01-01;2009-06-01;2005-06-16;36409.47
Y;44;46;9;M;BCR;STE;M;428.42;2011-08-08;2001-07-20;2008-04-21;18171.31
Y;36;38;7;M;HGH;PVE;M;265.6;1979-12-02;2009-10-01;2009-12-30;15123.39
Y;49;51;15;D;HGH;PVE;F;1671.97;2015-07-24;2006-03-20;2001-11-17;35805.69
Y;32;34;9;M;PRS;SFE;F;307.84;1983-11-07;2006-01-27;2007-07-13;37160.0
Y;36;38;11;S;BCR;PVE;M;738.46;2005-03-24;2002-10-01;2006-02-04;92153.92
Y;48;50;11;M;MAS;STE;M;362.77;1967-09-21;2005-02-21;2006-06-13;10783.14
Y;61;63;15;M;BCR;RET;F;693.65;2007-09-14;;2002-01-25;5848.99
Y;27;29;1;M;MAS;PVE;M;976.93;2015-08-16;2014-01-01;2015-07-14;53775.54
Y;45;47;11;W;HGH;PVE;F;182.72;2008-07-25;2007-04-01;2005-07-13;9930.53
Y;57;59;10;S;HGH;OTH;F;304.93;1998-01-27;;2007-04-20;9534.79
Y;44;46;1;M;MAS;PVE;M;953.85;2015-03-01;2010-01-01;2015-07-29;67881.79
Y;51;53;14;M;BCR;STE;M;791.53;1992-05-05;1992-08-03;2003-05-17;22609.46
Y;59;61;12;M;BCR;STE;F;405.75;2008-10-01;2006-12-12;2004-08-24;5489.27
Y;40;42;12;M;HGH;STE;F;310.01;2002-01-01;;2004-12-27;6892.04
Y;36;38;13;M;HGH;SFE;M;865.62;2014-04-19;2006-10-19;2003-11-20;9128.99
Y;31;33;7;M;HGH;PVE;F;256.41;2009-09-01;2013-10-01;2009-11-16;24038.44
Y;35;36;10;M;MAS;PVE;M;2478.69;2006-07-01;2011-03-14;2007-04-10;37145.46
Y;45;47;15;M;BCR;SFE;M;1680.08;2009-04-20;2014-06-27;2002-02-18;15074.24
Y;41;43;10;M;BCR;SFE;M;982.34;2004-01-09;2014-03-07;2007-07-04;20869.53
Y;29;31;1;M;HGH;STE;M;519.77;2012-05-05;2011-08-17;2015-07-27;17960.68
Y;40;41;9;M;BCR;PVE;M;283.52;2004-08-20;2002-02-01;2007-07-09;1715.89
Y;40;42;10;M;HGH;PVE;M;683.29;1996-12-01;2009-09-01;2007-01-20;13994.48
Y;35;36;1;M;BCR;PVE;M;961.57;1982-01-01;2008-04-15;2015-07-28;45116.89
Y;41;43;11;M;HGH;PVE;F;216.08;2002-04-25;2016-06-22;2005-10-27;20882.47
Y;59;61;12;D;HGH;PVE;F;604.75;1976-09-01;2004-09-06;2004-09-11;11134.72
Y;58;60;9;M;BCR;STE;F;793.6;2004-10-05;2004-05-12;2007-11-02;30987.04
Y;42;44;12;M;HGH;PVE;M;278.26;2000-01-01;1998-02-01;2005-04-19;5850.72
Y;43;44;12;M;BCR;STE;M;916.84;2003-12-23;2006-06-01;2004-08-02;21503.21
Y;54;55;9;M;HGH;RET;M;326.99;2007-04-17;;2007-10-01;19194.55
Y;45;46;11;M;HGH;STE;F;227.02;1996-04-12;1998-01-01;2005-11-09;18509.36
Y;47;49;12;M;BCR;STE;F;569.09;2002-03-26;2000-06-01;2004-12-02;43295.85
Y;46;48;13;M;BCR;STE;M;452.13;1978-07-02;1993-06-07;2004-04-22;23639.66
Y;40;41;11;S;PRS;PVE;F;721.8;2008-04-21;2010-01-01;2006-03-29;13299.88
Y;55;57;10;M;BCR;STE;F;816.33;2005-09-07;1990-05-15;2006-09-04;20353.44
Y;30;32;7;S;HGH;PVE;M;438.75;1985-04-11;2014-11-07;2009-10-09;32557.58
Y;41;43;9;M;SEC;PVE;M;120.12;2007-02-06;1996-03-01;2008-03-07;14964.04
Y;35;37;12;S;BCR;SFE;M;1001.27;2005-05-12;2011-08-01;2005-06-30;93940.94
Y;37;39;14;M;BCR;PVE;F;630.77;2008-01-01;2008-01-09;2003-01-08;63274.61
Y;52;54;14;M;HGH;PVE;F;775.1;1963-08-09;2003-06-16;2003-06-16;32391.37
Y;46;48;12;M;BCR;PVE;M;2769.23;2002-04-26;2010-09-01;2004-09-17;57596.75
Y;29;31;11;S;BCR;PVE;M;740.35;1997-12-12;2015-01-22;2005-08-02;37539.88
Y;42;44;9;M;HGH;PVE;M;223.63;2008-01-23;2011-06-20;2007-09-12;28679.4
Y;40;42;10;M;BCR;PVE;F;1634.04;2001-01-01;2007-01-08;2007-01-09;45755.03
Y;47;49;9;M;BCR;PVE;M;807.72;1968-04-04;2007-11-03;2008-04-22;16365.28
Y;31;33;9;M;BCR;STE;F;284.62;2007-09-11;2004-11-15;2008-02-26;15063.03
Y;51;52;14;M;BCR;PVE;M;1230.77;1966-01-01;2005-09-01;2002-09-27;52385.03
Y;35;37;4;M;PRS;SFE;M;276.92;2015-03-01;2012-12-04;2012-12-24;18447.9
Y;56;58;13;W;BCR;PVE;M;1165.41;2005-09-15;2002-03-10;2003-07-14;48134.15
Y;59;61;9;W;HGH;OTH;F;202.35;2006-08-03;;2007-07-23;5551.89
Y;62;64;13;M;HGH;RET;M;264.97;2004-09-27;2005-01-01;2004-06-01;5684.8
Y;57;59;11;M;BCR;STE;F;639.91;2005-10-20;1998-11-02;2005-11-23;18310.83
Y;43;45;12;S;BCR;PVE;M;1389.59;1980-08-30;2007-02-01;2005-06-29;27013.97
Y;37;39;12;D;BCR;PVE;F;338.79;2010-08-20;2009-02-01;2005-06-25;29821.55
Y;41;42;9;M;BCR;PVE;M;1413.22;1993-06-01;2013-03-01;2008-03-25;27002.7
Y;35;37;7;M;BCR;PVE;F;946.15;1980-12-28;2015-01-01;2010-06-08;30269.7
Y;53;55;1;W;BCR;STE;F;374.45;2005-09-01;2006-01-23;2015-10-05;26705.95
Y;27;29;1;S;BCR;PVE;M;493.75;1988-11-15;2014-12-23;2015-10-01;18182.65
